date,IPCA,log_IPCA,diff_log_IPCA,diff2_log_IPCA
2005-12-01,0.36,0.1310282624064042,-0.15415067982725827,-0.01406188665657665
2006-01-01,0.59,0.3148107398400336,0.1837824774336294,0.3379331572608877
2006-02-01,0.41,0.17395330712343798,-0.14085743271659562,-0.32463991015022503
2006-03-01,0.43,0.1906203596086497,0.01666705248521172,0.15752448520180734
2006-04-01,0.21,-0.01005033585350145,-0.20067069546215116,-0.21733774794736288
2006-05-01,0.1,-0.12783337150988489,-0.11778303565638343,0.08288765980576773
2006-06-01,-0.21,-0.5621189181535411,-0.4342855466436562,-0.3165025109872728
2006-07-01,0.19,-0.03045920748470857,0.5316597106688326,0.9659452573124887
2006-08-01,0.05,-0.18632957819149337,-0.1558703707067848,-0.6875300813756173
2006-09-01,0.21,-0.01005033585350145,0.17627924233799191,0.33214961304477675
