date,IPCA,log_IPCA
2011-07-01,0.16,-0.06187540371808741
2011-08-01,0.37,0.13976194237515863
2011-09-01,0.53,0.2700271372130602
2011-10-01,0.43,0.1906203596086497
2011-11-01,0.52,0.26236426446749106
2011-12-01,0.5,0.2468600779315258
2012-01-01,0.56,0.29266961396282004
2012-02-01,0.45,0.20701416938432612
2012-03-01,0.21,-0.01005033585350145
2012-04-01,0.64,0.35065687161316933
2012-05-01,0.36,0.1310282624064042
2012-06-01,0.08,-0.15082288973458366
2012-07-01,0.43,0.1906203596086497
2012-08-01,0.41,0.17395330712343798
2012-09-01,0.57,0.30010459245033816
2012-10-01,0.59,0.3148107398400336
2012-11-01,0.6,0.3220834991691132
2012-12-01,0.79,0.45107561936021673
2013-01-01,0.86,0.4946962418361071
2013-02-01,0.6,0.3220834991691132
